city,date,pm25_mean,pm10_mean,no2_mean,o3_mean,co_mean,aqi_mean,temp_mean,humidity_mean,wind_mean,pressure_mean,traffic_index_mean,vehicle_count_sum,congestion_mean,hospital_admissions,respiratory_admissions,population_est,district,population,area_km2,next_day_respiratory_admissions,risk_category
CityA,2025-08-11,21.906666666666666,25.28333333333333,21.542916666666667,28.9225,0.30424999999999996,17.329166666666666,18.543333333333333,60.87916666666666,2.1091666666666664,1009.6625,52.49166666666667,5185,52.49166666666667,10,6,524787,District_A,520000,150,8.0,Medium
CityA,2025-08-12,20.4275,25.792083333333334,21.229166666666668,29.2925,0.30112500000000003,16.6375,18.7925,58.06666666666666,2.1304166666666666,1009.8333333333334,52.27916666666667,5526,52.27916666666667,13,8,511990,District_A,520000,150,7.0,Medium
CityA,2025-08-13,19.57875,25.30875,22.007499999999997,30.19541666666667,0.2890833333333333,16.204166666666666,18.990416666666665,60.012499999999996,1.89625,1010.15,48.708333333333336,5147,48.708333333333336,13,7,510775,District_A,520000,150,7.0,Medium
CityA,2025-08-14,20.78708333333333,25.87875,21.489583333333332,30.1925,0.31504166666666666,16.8625,18.572083333333335,60.28333333333333,1.84,1010.1083333333332,53.275,5333,53.275,14,7,514149,District_A,520000,150,6.0,Medium
CityA,2025-08-15,21.56625,27.35291666666667,19.5475,31.042916666666667,0.29920833333333335,17.291666666666668,18.746666666666666,57.94583333333333,1.9554166666666666,1010.6833333333334,51.291666666666664,5112,51.291666666666664,12,6,522125,District_A,520000,150,8.0,Medium
CityA,2025-08-16,18.60291666666667,22.726249999999997,22.031666666666666,29.898750000000003,0.309625,15.283333333333333,18.710416666666667,59.28333333333333,2.0591666666666666,1010.4166666666666,53.02916666666667,5431,53.02916666666667,13,8,490336,District_A,520000,150,9.0,Medium
CityA,2025-08-17,20.479166666666668,26.379166666666666,20.375416666666666,31.66875,0.29925,16.679166666666667,18.463333333333335,59.300000000000004,2.138333333333333,1009.8708333333334,52.42083333333333,5299,52.42083333333333,15,9,514557,District_A,520000,150,6.0,Medium
CityA,2025-08-18,20.954166666666666,25.243333333333336,21.042083333333334,28.875,0.30058333333333337,16.787499999999998,18.802916666666665,59.80833333333334,1.7816666666666665,1010.0916666666667,52.40416666666667,4672,52.40416666666667,11,6,513389,District_A,520000,150,6.0,Medium
CityA,2025-08-19,21.03875,24.889166666666668,21.1675,29.485,0.30054166666666665,16.779166666666665,18.54041666666667,59.3375,1.8029166666666667,1010.4791666666666,50.550000000000004,5348,50.550000000000004,12,6,513619,District_A,520000,150,8.0,Medium
CityA,2025-08-20,20.7375,25.816666666666666,20.485,30.84166666666667,0.3155,16.720833333333335,18.40458333333333,62.17916666666667,1.9500000000000002,1009.25,53.26666666666667,5443,53.26666666666667,15,8,501644,District_A,520000,150,7.0,Medium
CityA,2025-08-21,21.377916666666668,26.780416666666667,20.955000000000002,30.153333333333332,0.27975,17.254166666666666,18.27125,60.6875,1.8720833333333333,1009.1958333333333,53.237500000000004,5220,53.237500000000004,14,7,531128,District_A,520000,150,9.0,Medium
CityA,2025-08-22,21.9025,26.170416666666668,22.211250000000003,31.785,0.30012500000000003,17.545833333333334,18.82125,59.199999999999996,1.9275,1010.6666666666666,50.916666666666664,5339,50.916666666666664,15,9,508335,District_A,520000,150,6.0,Medium
CityA,2025-08-23,22.012916666666666,27.255,22.128333333333334,29.014583333333334,0.3115,17.766666666666666,18.481666666666666,61.583333333333336,1.9758333333333333,1009.3249999999999,53.7875,4721,53.7875,11,6,470676,District_A,520000,150,6.0,Medium
CityA,2025-08-24,21.59375,25.75916666666667,20.266666666666666,28.570416666666663,0.3137083333333333,17.120833333333334,18.73375,62.416666666666664,1.9029166666666668,1009.7708333333334,52.39166666666667,5147,52.39166666666667,11,6,504453,District_A,520000,150,7.0,Medium
CityA,2025-08-25,19.432916666666667,23.861666666666668,21.022916666666667,29.383333333333336,0.29954166666666665,15.795833333333334,18.73541666666667,57.09166666666667,1.9920833333333334,1010.4541666666668,53.37916666666666,5342,53.37916666666666,12,7,512855,District_A,520000,150,7.0,Medium
CityA,2025-08-26,20.825,25.508333333333336,21.40625,30.595416666666665,0.2955,16.783333333333335,18.353333333333335,59.82083333333333,1.87375,1010.0,53.0625,4855,53.0625,11,7,499191,District_A,520000,150,7.0,Medium
CityA,2025-08-27,18.937916666666666,24.223333333333333,22.490416666666665,30.110833333333332,0.31383333333333335,15.762500000000001,18.284166666666668,59.84166666666667,2.1570833333333335,1009.65,53.550000000000004,4818,53.550000000000004,13,7,504183,District_A,520000,150,5.0,Medium
CityA,2025-08-28,21.611666666666665,26.942916666666665,21.438333333333333,29.6925,0.30495833333333333,17.441666666666666,18.481666666666666,59.525,1.9691666666666665,1010.4333333333334,52.13333333333333,5479,52.13333333333333,9,5,483800,District_A,520000,150,7.0,Low
CityA,2025-08-29,21.89708333333333,26.749583333333334,21.000833333333333,30.573333333333334,0.29316666666666663,17.5125,18.512916666666666,57.395833333333336,1.7558333333333334,1010.9958333333334,55.11666666666667,5183,55.11666666666667,13,7,481746,District_A,520000,150,6.0,Medium
CityA,2025-08-30,21.008333333333333,26.742083333333337,21.879166666666666,29.866249999999997,0.281625,17.150000000000002,18.034583333333334,58.49166666666667,2.125833333333333,1010.2375000000001,55.50416666666666,5443,55.50416666666666,11,6,507229,District_A,520000,150,7.0,Medium
CityA,2025-08-31,20.110833333333336,25.515416666666667,22.42,30.249166666666667,0.29170833333333335,16.545833333333334,18.52,58.49166666666667,2.0704166666666666,1008.5375,50.4625,5255,50.4625,14,7,522068,District_A,520000,150,7.0,Medium
CityA,2025-09-01,19.602916666666665,23.34583333333333,22.011666666666667,30.052916666666665,0.30645833333333333,15.895833333333334,18.74,60.02916666666667,2.0416666666666665,1010.2458333333334,52.14166666666667,5328,52.14166666666667,13,7,490656,District_A,520000,150,8.0,Medium
CityA,2025-09-02,23.235416666666666,27.785416666666666,20.891666666666666,31.006249999999998,0.302375,18.341666666666665,18.41375,62.025,2.0370833333333334,1009.5291666666667,54.44583333333333,5853,54.44583333333333,13,8,532737,District_A,520000,150,8.0,Medium
CityA,2025-09-03,19.964583333333334,25.005,22.159583333333334,30.80666666666667,0.306375,16.383333333333333,18.327083333333334,59.37916666666667,2.1133333333333333,1010.0666666666666,52.01666666666667,5567,52.01666666666667,13,8,522202,District_A,520000,150,8.0,Medium
CityA,2025-09-04,20.579583333333336,26.24083333333333,20.317083333333333,28.699166666666667,0.2947916666666667,16.695833333333333,18.695833333333333,61.05416666666667,1.9370833333333335,1010.1458333333334,55.1,5641,55.1,14,8,504560,District_A,520000,150,8.0,Medium
CityA,2025-09-05,18.880416666666665,24.247083333333336,22.027083333333334,26.957916666666666,0.30020833333333335,15.6875,18.70625,60.762499999999996,1.9833333333333334,1009.8583333333332,52.1875,5273,52.1875,14,8,534373,District_A,520000,150,7.0,Medium
CityA,2025-09-06,21.41,27.45125,22.12375,28.918333333333333,0.301,17.504166666666666,18.83625,59.770833333333336,2.01125,1009.4916666666667,52.895833333333336,5064,52.895833333333336,14,7,488286,District_A,520000,150,9.0,Medium
CityA,2025-09-07,21.12625,25.855416666666667,21.84875,30.06833333333333,0.29533333333333334,17.058333333333334,18.575416666666666,61.09583333333333,2.0708333333333333,1010.25,51.395833333333336,5314,51.395833333333336,14,9,529314,District_A,520000,150,7.0,Medium
CityA,2025-09-08,21.105,27.4675,21.054166666666667,29.261666666666667,0.30612500000000004,17.229166666666668,18.647083333333335,61.18333333333334,1.9916666666666665,1010.4,51.37916666666666,5503,51.37916666666666,13,7,505951,District_A,520000,150,8.0,Medium
CityA,2025-09-09,22.21375,26.718333333333334,21.009583333333335,30.031666666666666,0.29541666666666666,17.650000000000002,18.742916666666666,60.237500000000004,1.88375,1009.4291666666667,50.54583333333333,5112,50.54583333333333,15,8,516411,District_A,520000,150,10.0,Medium
CityA,2025-09-10,21.55875,26.789583333333336,20.715416666666666,28.542083333333334,0.30516666666666664,17.3125,18.927916666666665,59.65416666666667,1.9887499999999998,1008.7333333333332,53.75,5349,53.75,16,10,493257,District_A,520000,150,8.0,Medium
CityA,2025-09-11,21.401666666666667,26.459999999999997,20.28875,30.6675,0.29758333333333337,17.150000000000002,18.684166666666666,61.19166666666666,2.2495833333333333,1008.8416666666667,54.300000000000004,5165,54.300000000000004,13,8,487260,District_A,520000,150,5.0,Medium
CityA,2025-09-12,20.686666666666667,25.657916666666665,21.244583333333335,29.765,0.297875,16.741666666666667,18.7775,60.895833333333336,1.9495833333333332,1009.9958333333334,51.92083333333333,5299,51.92083333333333,11,5,528924,District_A,520000,150,8.0,Low
CityA,2025-09-13,20.942916666666665,26.354166666666668,20.313333333333333,30.31833333333333,0.3067083333333333,16.89166666666667,18.852083333333333,61.26666666666667,1.8779166666666667,1010.3208333333333,55.56666666666666,5277,55.56666666666666,14,8,491659,District_A,520000,150,5.0,Medium
CityA,2025-09-14,18.603333333333335,22.885,21.065833333333334,28.0675,0.3070833333333333,15.225,18.839583333333334,59.19166666666666,1.9904166666666667,1009.9583333333334,49.69583333333333,4934,49.69583333333333,10,5,480520,District_A,520000,150,7.0,Low
CityA,2025-09-15,21.971249999999998,27.23625,20.625,28.552916666666665,0.2765,17.587500000000002,18.86583333333333,59.5,1.9504166666666667,1010.7916666666666,50.90833333333333,5125,50.90833333333333,15,7,501554,District_A,520000,150,7.0,Medium
CityA,2025-09-16,22.242500000000003,26.497083333333332,21.264166666666664,30.775000000000002,0.31095833333333334,17.654166666666665,18.51625,58.083333333333336,1.92375,1010.1708333333332,50.4625,5053,50.4625,12,7,476149,District_A,520000,150,6.0,Medium
CityA,2025-09-17,19.612916666666667,24.655833333333334,21.112916666666667,30.027083333333334,0.2909583333333334,16.025000000000002,18.657083333333333,59.65416666666667,1.9954166666666666,1009.6916666666666,53.34583333333333,5532,53.34583333333333,9,6,508336,District_A,520000,150,6.0,Medium
CityA,2025-09-18,20.305416666666666,25.268333333333334,20.13375,29.770416666666666,0.28783333333333333,16.3875,18.764583333333334,60.416666666666664,1.9866666666666666,1009.1750000000001,52.42083333333333,5126,52.42083333333333,10,6,469466,District_A,520000,150,8.0,Medium
CityA,2025-09-19,19.905,24.717916666666667,22.057916666666667,30.65125,0.32054166666666667,16.2625,18.82875,58.57083333333333,2.0295833333333335,1010.1416666666668,53.225,5179,53.225,13,8,475793,District_A,520000,150,7.0,Medium
CityA,2025-09-20,21.1675,26.55333333333333,22.13875,30.38416666666667,0.2984583333333333,17.224999999999998,18.575833333333332,59.85833333333333,1.9383333333333335,1010.0833333333334,53.512499999999996,4984,53.512499999999996,13,7,479312,District_A,520000,150,5.0,Medium
CityA,2025-09-21,19.332083333333333,24.160833333333333,21.82875,28.831666666666667,0.2824583333333333,15.875,18.51125,61.449999999999996,1.90125,1010.4499999999999,50.02916666666667,4957,50.02916666666667,10,5,514379,District_A,520000,150,6.0,Low
CityA,2025-09-22,20.73125,25.82166666666667,21.1675,31.058333333333334,0.29904166666666665,16.795833333333334,18.422916666666666,60.07083333333333,1.9708333333333332,1010.8375,51.291666666666664,5155,51.291666666666664,12,6,498714,District_A,520000,150,4.0,Medium
CityA,2025-09-23,21.133333333333333,26.535,20.567916666666665,29.700833333333335,0.28187500000000004,17.041666666666668,18.245,58.0875,2.03,1010.9666666666667,51.82916666666667,5166,51.82916666666667,8,4,520882,District_A,520000,150,6.0,Low
CityA,2025-09-24,22.120833333333334,25.752499999999998,20.4275,30.960833333333337,0.3036666666666667,17.3875,18.48125,59.40416666666667,2.0412500000000002,1009.7125,53.49166666666667,5629,53.49166666666667,10,6,547154,District_A,520000,150,7.0,Medium
CityA,2025-09-25,18.92875,23.686666666666667,21.7,29.879583333333333,0.2891666666666666,15.575000000000001,18.321250000000003,59.375,1.9075,1009.7041666666668,51.44166666666666,5492,51.44166666666666,13,7,514710,District_A,520000,150,8.0,Medium
CityA,2025-09-26,19.24875,24.91541666666667,21.175416666666667,29.715416666666666,0.3000833333333333,15.891666666666666,18.540416666666665,58.9125,1.9266666666666667,1009.8083333333334,50.65416666666667,5248,50.65416666666667,13,8,509975,District_A,520000,150,7.0,Medium
CityA,2025-09-27,21.811666666666667,26.41125,20.12125,29.81458333333333,0.2940416666666667,17.320833333333333,18.05666666666667,59.887499999999996,1.9604166666666665,1010.1583333333333,52.324999999999996,4870,52.324999999999996,13,7,540423,District_A,520000,150,6.0,Medium
CityA,2025-09-28,21.049583333333334,27.37875,21.42125,31.214166666666667,0.31395833333333334,17.229166666666668,18.440833333333334,58.92083333333333,1.9145833333333335,1009.1583333333333,54.199999999999996,5266,54.199999999999996,10,6,508575,District_A,520000,150,6.0,Medium
CityA,2025-09-29,22.1125,27.334999999999997,21.045416666666664,28.3875,0.29958333333333337,17.729166666666668,18.630416666666665,61.01666666666667,2.0329166666666665,1010.1625,49.479166666666664,5303,49.479166666666664,11,6,496414,District_A,520000,150,9.0,Medium
CityA,2025-09-30,22.32625,27.114166666666666,21.237083333333334,30.94666666666667,0.316125,17.804166666666667,18.657083333333333,60.449999999999996,2.044166666666667,1010.5291666666667,51.22083333333333,5324,51.22083333333333,15,9,497867,District_A,520000,150,5.0,Medium
CityA,2025-10-01,19.72,25.425,21.770416666666666,28.40625,0.326375,16.270833333333332,18.31416666666667,58.59166666666667,2.0004166666666667,1009.9166666666666,51.26666666666667,5524,51.26666666666667,11,5,497766,District_A,520000,150,8.0,Low
CityA,2025-10-02,19.135,24.321250000000003,21.583333333333332,28.96375,0.29054166666666664,15.783333333333333,18.83375,60.2125,1.945,1010.8375,50.9,5374,50.9,13,8,461887,District_A,520000,150,8.0,Medium
CityA,2025-10-03,20.432916666666667,23.750416666666666,20.88,30.64833333333333,0.28629166666666667,16.2625,18.667916666666667,61.62083333333334,1.9833333333333334,1010.4791666666666,51.55833333333334,5074,51.55833333333334,14,8,487493,District_A,520000,150,5.0,Medium
CityA,2025-10-04,21.519166666666667,27.717083333333335,20.372916666666665,31.398750000000003,0.293875,17.412499999999998,18.565416666666668,60.5625,1.9508333333333334,1010.8333333333334,49.87083333333334,4796,49.87083333333334,9,5,531299,District_A,520000,150,5.0,Low
CityA,2025-10-05,20.545416666666668,25.601249999999997,20.467499999999998,29.262083333333333,0.3159166666666667,16.583333333333332,18.99625,60.2125,2.005,1009.8416666666667,51.800000000000004,4959,51.800000000000004,8,5,537425,District_A,520000,150,6.0,Low
CityA,2025-10-06,21.864583333333332,26.281666666666666,21.4825,29.49416666666667,0.298375,17.458333333333332,18.695,61.86666666666667,2.0829166666666667,1010.0916666666667,51.375,5320,51.375,13,6,516651,District_A,520000,150,4.0,Medium
CityA,2025-10-07,21.547083333333333,26.53,20.658333333333335,29.756666666666664,0.287375,17.266666666666666,18.95875,58.1,2.0470833333333336,1010.1374999999999,51.9125,5148,51.9125,9,4,514199,District_A,520000,150,7.0,Low
CityA,2025-10-08,21.942916666666665,27.396666666666665,21.100416666666664,28.551666666666666,0.31958333333333333,17.654166666666665,18.66125,59.19583333333333,1.8854166666666667,1009.7666666666668,51.6875,5686,51.6875,13,7,515399,District_A,520000,150,7.0,Medium
CityA,2025-10-09,20.995416666666667,26.02,22.3,29.57041666666667,0.3135,17.058333333333334,18.53875,60.11666666666667,2.2125,1011.0166666666668,51.12916666666666,5769,51.12916666666666,13,7,493029,District_A,520000,150,5.0,Medium
CityA,2025-10-10,20.309583333333332,25.447083333333335,21.685833333333335,30.73,0.29725,16.5625,18.864583333333332,58.95416666666667,2.0175,1009.7041666666668,51.675000000000004,4961,51.675000000000004,12,5,517691,District_A,520000,150,8.0,Low
CityA,2025-10-11,21.610416666666666,25.812083333333334,21.39833333333333,31.655833333333334,0.317375,17.241666666666667,18.815833333333334,58.791666666666664,2.1075,1010.1,54.349999999999994,5175,54.349999999999994,14,8,501107,District_A,520000,150,7.0,Medium
CityA,2025-10-12,20.605416666666667,25.772499999999997,21.18916666666667,31.13291666666667,0.29983333333333334,16.720833333333335,18.24625,60.666666666666664,1.8416666666666668,1010.4166666666666,54.550000000000004,5443,54.550000000000004,12,7,485881,District_A,520000,150,8.0,Medium
CityA,2025-10-13,21.71375,27.184166666666666,20.935416666666665,30.880416666666665,0.30233333333333334,17.474999999999998,18.743750000000002,58.95416666666667,2.0470833333333336,1009.1,53.475,4947,53.475,14,8,512367,District_A,520000,150,7.0,Medium
CityA,2025-10-14,20.415833333333335,25.010833333333334,20.761666666666667,30.085416666666664,0.29841666666666666,16.462500000000002,18.92833333333333,58.574999999999996,2.1616666666666666,1009.8416666666667,53.4125,5198,53.4125,12,7,477288,District_A,520000,150,7.0,Medium
CityA,2025-10-15,21.759583333333335,26.807916666666667,21.755,30.546666666666667,0.29175,17.520833333333332,18.919583333333332,60.67083333333333,2.2108333333333334,1009.7125,52.225,5490,52.225,13,7,514292,District_A,520000,150,9.0,Medium
CityA,2025-10-16,20.887083333333333,26.247500000000002,21.162916666666668,29.28125,0.28954166666666664,16.92083333333333,18.94125,60.770833333333336,2.0229166666666667,1010.5625,51.5875,5351,51.5875,15,9,473140,District_A,520000,150,7.0,Medium
CityA,2025-10-17,20.27541666666667,25.061666666666667,21.66333333333333,28.895,0.31516666666666665,16.470833333333335,19.075416666666666,59.487500000000004,2.160416666666667,1010.0,52.199999999999996,5360,52.199999999999996,11,7,508887,District_A,520000,150,7.0,Medium
CityA,2025-10-18,23.095,27.832083333333333,20.432916666666667,29.141666666666666,0.29275,18.220833333333335,18.812083333333334,61.083333333333336,2.182916666666667,1009.8416666666667,51.80416666666667,5367,51.80416666666667,11,7,520265,District_A,520000,150,8.0,Medium
CityA,2025-10-19,20.40875,26.334999999999997,20.727083333333333,30.827916666666667,0.2950833333333333,16.658333333333335,18.671666666666667,60.05416666666667,2.0466666666666664,1010.35,53.7875,5371,53.7875,14,8,548348,District_A,520000,150,7.0,Medium
CityA,2025-10-20,21.11916666666667,25.110833333333332,21.900000000000002,29.865416666666665,0.30275,16.9375,18.38083333333333,60.737500000000004,2.0116666666666667,1010.4875000000001,52.82083333333333,5411,52.82083333333333,12,7,503722,District_A,520000,150,4.0,Medium
CityA,2025-10-21,21.61916666666667,25.699166666666667,20.618333333333332,29.069999999999997,0.30195833333333333,17.154166666666665,18.257083333333334,61.416666666666664,1.8804166666666668,1009.4,54.96666666666667,5152,54.96666666666667,8,4,508483,District_A,520000,150,7.0,Low
CityA,2025-10-22,21.59875,25.758333333333336,22.329583333333332,31.72583333333333,0.30358333333333337,17.325,18.83375,59.5875,1.9241666666666666,1009.9541666666668,53.3125,5156,53.3125,15,7,493529,District_A,520000,150,8.0,Medium
CityA,2025-10-23,22.337083333333336,26.461250000000003,20.362083333333334,30.064999999999998,0.3089166666666667,17.625,19.017083333333336,62.05416666666667,2.1149999999999998,1010.6374999999999,52.74583333333334,5506,52.74583333333334,15,8,502765,District_A,520000,150,7.0,Medium
CityA,2025-10-24,21.465,26.687916666666666,21.404583333333335,28.401666666666667,0.2979583333333333,17.325,18.987916666666667,58.74166666666667,1.94625,1010.5875,51.69583333333333,5199,51.69583333333333,12,7,479326,District_A,520000,150,8.0,Medium
CityA,2025-10-25,21.53625,27.089166666666667,21.095833333333335,28.152083333333334,0.31195833333333334,17.391666666666666,18.7725,59.425000000000004,1.9241666666666666,1010.9625,54.31666666666666,5306,54.31666666666666,14,8,494035,District_A,520000,150,8.0,Medium
CityA,2025-10-26,20.341666666666665,25.344166666666666,20.590833333333332,31.310833333333335,0.288875,16.4375,18.749166666666667,59.854166666666664,1.8629166666666668,1009.4583333333334,52.37916666666666,4898,52.37916666666666,15,8,516109,District_A,520000,150,6.0,Medium
CityA,2025-10-27,20.66,25.572083333333335,20.902083333333334,29.04875,0.2959583333333333,16.675,19.169166666666666,58.1,2.1391666666666667,1010.1166666666667,50.50833333333333,4759,50.50833333333333,10,6,485188,District_A,520000,150,6.0,Medium
CityA,2025-10-28,21.610416666666666,25.9225,20.875,29.604166666666668,0.29362499999999997,17.212500000000002,18.8025,59.7125,2.0108333333333333,1009.7541666666666,51.449999999999996,5181,51.449999999999996,11,6,497729,District_A,520000,150,9.0,Medium
CityA,2025-10-29,20.645833333333332,25.342083333333335,20.87875,32.16583333333333,0.315,16.629166666666666,18.6125,58.77916666666667,1.9783333333333335,1010.8708333333334,51.28333333333333,5110,51.28333333333333,17,9,499139,District_A,520000,150,,Medium
CityB,2025-08-01,27.4375,33.005,19.724999999999998,29.3275,0.295,21.204166666666666,24.067083333333333,59.300000000000004,1.99,1009.6958333333333,56.19166666666666,5007,56.19166666666666,9,6,455808,District_B,480000,140,5.0,Medium
CityB,2025-08-02,28.044166666666666,34.347500000000004,21.101666666666667,28.967083333333335,0.2848333333333333,21.849999999999998,24.20041666666667,61.00833333333333,2.03375,1009.0791666666668,54.48333333333333,5060,54.48333333333333,8,5,533564,District_B,480000,140,4.0,Low
CityB,2025-08-03,27.93875,34.045833333333334,20.794583333333332,29.795833333333334,0.29725,21.72083333333333,24.14375,58.96666666666667,2.0954166666666665,1010.4208333333332,54.199999999999996,4914,54.199999999999996,7,4,503324,District_B,480000,140,4.0,Low
CityB,2025-08-04,28.61791666666667,33.14458333333334,22.128333333333334,29.417083333333334,0.29420833333333335,22.041666666666668,24.17125,60.18333333333334,1.9270833333333333,1010.3625000000001,57.475,5034,57.475,8,4,531649,District_B,480000,140,4.0,Low
CityB,2025-08-05,26.631666666666664,31.949583333333333,20.645833333333332,28.557083333333335,0.30241666666666667,20.716666666666665,24.194166666666664,59.79583333333333,1.9558333333333333,1009.7291666666666,53.20416666666667,5000,53.20416666666667,7,4,505459,District_B,480000,140,5.0,Low
CityB,2025-08-06,29.105416666666667,34.26,23.20583333333333,29.817083333333333,0.281875,22.570833333333336,24.777083333333334,60.25416666666667,2.2045833333333333,1009.5,55.025,5693,55.025,10,5,496434,District_B,480000,140,5.0,Low
CityB,2025-08-07,28.0275,32.91416666666667,20.55875,30.7775,0.31504166666666666,21.55,23.864166666666666,59.041666666666664,2.1041666666666665,1009.6999999999999,55.68333333333334,5145,55.68333333333334,9,5,476476,District_B,480000,140,7.0,Low
CityB,2025-08-08,28.68375,33.96208333333333,20.685416666666665,30.152083333333334,0.3007083333333333,22.075,24.072083333333335,62.083333333333336,2.1020833333333333,1008.9375,54.699999999999996,5274,54.699999999999996,12,7,521342,District_B,480000,140,4.0,Medium
CityB,2025-08-09,26.462500000000002,31.1425,21.765,31.032083333333333,0.28979166666666667,20.599999999999998,24.344166666666666,59.79583333333333,1.8399999999999999,1009.2333333333332,55.74166666666667,5216,55.74166666666667,8,4,480909,District_B,480000,140,6.0,Low
CityB,2025-08-10,27.637083333333333,33.002916666666664,21.04,28.621666666666666,0.29483333333333334,21.433333333333334,23.77916666666667,60.541666666666664,1.9283333333333335,1010.8291666666668,53.604166666666664,5123,53.604166666666664,11,6,467603,District_B,480000,140,5.0,Medium
CityB,2025-08-11,27.682916666666667,32.57875,22.364583333333332,30.11916666666667,0.30341666666666667,21.516666666666666,23.962500000000002,61.68333333333334,2.07125,1010.25,54.25,5610,54.25,10,5,494093,District_B,480000,140,3.0,Low
CityB,2025-08-12,28.64916666666667,33.24166666666667,21.94666666666667,30.359166666666667,0.3085833333333333,22.054166666666664,24.29875,59.36666666666667,2.0033333333333334,1010.4708333333333,56.01666666666666,5662,56.01666666666666,6,3,489040,District_B,480000,140,4.0,Low
CityB,2025-08-13,27.66625,32.11625,21.80541666666667,31.15625,0.2798333333333333,21.370833333333334,24.558333333333334,60.59583333333333,1.9216666666666666,1009.5291666666667,53.56666666666666,5304,53.56666666666666,8,4,516650,District_B,480000,140,3.0,Low
CityB,2025-08-14,27.248333333333335,31.49,21.55333333333333,30.355416666666667,0.2946666666666667,21.025000000000002,24.228333333333335,57.57083333333333,2.04875,1011.2916666666666,53.35,4922,53.35,7,3,489457,District_B,480000,140,4.0,Low
CityB,2025-08-15,27.22375,32.038333333333334,21.657916666666665,31.739166666666666,0.29904166666666665,21.108333333333334,24.145833333333332,62.39166666666667,2.0429166666666667,1010.0416666666666,54.675000000000004,4876,54.675000000000004,8,4,520552,District_B,480000,140,5.0,Low
CityB,2025-08-16,29.232083333333335,33.544999999999995,21.811666666666667,31.443749999999998,0.28191666666666665,22.3875,23.920833333333334,61.35833333333333,1.9625000000000001,1010.2791666666667,53.25833333333333,5185,53.25833333333333,9,5,453577,District_B,480000,140,6.0,Low
CityB,2025-08-17,26.756666666666664,31.805833333333336,21.57166666666667,29.0725,0.29425,20.829166666666666,24.110416666666666,60.57083333333333,1.9662499999999998,1010.1833333333334,52.9375,5574,52.9375,10,6,501965,District_B,480000,140,6.0,Medium
CityB,2025-08-18,28.91541666666667,33.56583333333334,20.379166666666666,30.18958333333333,0.2936666666666667,22.09166666666667,24.52625,61.6625,2.15375,1008.6999999999999,54.54583333333333,5292,54.54583333333333,10,6,531360,District_B,480000,140,6.0,Medium
